county_i_name,county_i,H_i_2024_data,H_i_2025_data,N_i_2024_data,N_i_2025_data,L_i_data,F_i_nofire,F_i_fire1,p_i_eq,A_i_eq,p_i_cf,diff_p_i,L_i_eq
Los Angeles,0,3696.405,3726.527,3304.9137583892616,3314.3661073825506,4742.279,0,0.01,0.8522042360796375,1.0891667859830805,0.9584282875828799,0.10622405150324243,4742.279
Orange,1,1157.564,1163.983,1056.69,1058.4756666666667,1547.549,0,0.0,0.8778741586473439,0.027650453281745868,0.9381702539546775,0.0602960953073336,1547.5489999999998
Riverside,2,882.389,893.304,835.9184563758389,837.4630872483222,1016.166,0,0.0,0.9256227943960454,0.3968758259854468,0.9628365969952526,0.037213802599207146,1016.1660000000002
San Bernardino,3,751.646,758.12,698.524126984127,700.7695238095238,909.384,0,0.0,0.9005872637839227,0.1551051739291891,0.9499866892059186,0.049399425421995824,909.3839999999999
San Diego,4,1266.919,1280.893,1214.418315018315,1219.8311355311355,1615.443,0,0.0,0.9413303999516618,0.35471175678731637,0.9708084547707141,0.029478054819052302,1615.443
Ventura,5,297.922,300.727,272.42861842105265,272.69901315789474,389.548,0,0.0,0.8800355550049052,-2.0235099959667804,0.9393013767883296,0.05926582178342443,389.548
