county_i_name,county_j_name,L_ij_eq,L_ij_cf,U_ij_eq,U_ij_cf,pi_ij_cond_eq,pi_ij_cond_cf,pi_ij_joint_eq,pi_ij_joint_cf,diff_U_ij,diff_pi_ij_joint,diff_pi_ij_cond,diff_L_ij
Los Angeles,Los Angeles,3656.523059780139,1755.0180849136818,0.2650449843100784,0.04404412668870201,0.7710476460326646,0.37007904531000413,0.35776820384666563,0.35776820384666563,-0.2210008576213764,0.0,-0.4009686007226605,-1901.5049748664574
Orange,Los Angeles,257.44282756609516,338.91977613896717,-2.388425340316043,-0.7383009964390465,0.16635520268895856,0.21900422935814431,0.02518919107187764,0.02518919107187764,1.6501243438769966,0.0,0.05264902666918575,81.476948572872
Riverside,Los Angeles,12.826174632747515,100.89547774348219,-5.387735030737401,-1.6322245214627267,0.012622125354270378,0.0992903499462511,0.0012549619913671906,0.0012549619913671906,3.7555105092746746,0.0,0.08666822459198073,88.06930311073468
San Bernardino,Los Angeles,48.87120550518769,137.96677244735812,-4.050034628329101,-1.2341146815635131,0.053740999957320214,0.1517145369253892,0.004781745698730415,0.004781745698730415,2.8159199467655878,0.0,0.09797353696806899,89.09556694217044
San Diego,Los Angeles,0.9787650898891552,98.14370065464341,-7.960686621182945,-2.403462794681958,0.0006058803002576725,0.06075342841229515,9.576612056660128e-05,9.576612056660128e-05,5.557223826500987,0.0,0.06014754811203747,97.16493556475426
Ventura,Los Angeles,11.163359901154895,79.97910634639453,-5.526586028844747,-1.6817306452504692,0.028657212721294668,0.20531258367747884,0.0010922658370901167,0.0010922658370901167,3.844855383594278,0.0,0.17665537095618417,68.81574644523964
Los Angeles,Orange,746.8841166969073,1088.475376300433,-1.3233129653967532,-0.4336570552143778,0.15749476500579304,0.22952579894612538,0.07307799911107983,0.07307799911107983,0.8896559101823754,0.0,0.07203103394033233,341.5912596035257
Orange,Orange,1153.402874128322,532.0794582305351,-0.8887511338452971,-0.2872715914910835,0.7453094371346705,0.34382075025122605,0.11285334943663204,0.11285334943663204,0.6014795423542136,0.0,-0.4014886868834444,-621.323415897787
Riverside,Orange,90.89657757194253,181.82182288945737,-3.429500656897286,-1.0432824161902219,0.08945052045821503,0.17892925259205425,0.00889366886576624,0.00889366886576624,2.386218240707064,0.0,0.08947873213383922,90.92524531751484
San Bernardino,Orange,103.13999914882797,172.71518537739917,-3.303135726528018,-1.0094836478482576,0.11341743328322025,0.18992547194298467,0.010091612068882047,0.010091612068882047,2.2936520786797603,0.0,0.07650803865976442,69.5751862285712
San Diego,Orange,12.695408196889844,212.12379445932993,-5.3979826381120315,-1.6327254921698497,0.007858778178425264,0.13130998398540197,0.001242167303048436,0.001242167303048436,3.765257145942182,0.0,0.12345120580697672,199.42838626244009
Ventura,Orange,0.9971315201363512,38.679010109197456,-7.9420956087346735,-2.408198996685111,0.002559714130572744,0.09929202591002254,9.756316236100183e-05,9.756316236100183e-05,5.5338966120495625,0.0,0.0967323117794498,37.68187858906111
Los Angeles,Riverside,19.902150070654397,365.87216435063885,-4.9483952372526225,-1.5239063192930933,0.004196748034152861,0.07715112593557627,0.0019473024966764326,0.0019473024966764326,3.424488917959529,0.0,0.07295437790142341,345.97001427998447
Orange,Riverside,48.615857736830705,205.29670454798432,-4.055273238331797,-1.239608155245257,0.03141474534042586,0.1326592596085708,0.004756761496266004,0.004756761496266004,2.8156650830865395,0.0,0.10124451426814494,156.68084681115363
Riverside,Riverside,624.6696467549325,324.64298951296206,-1.5020000620937735,-0.46358354388849893,0.6147318910049465,0.3194783032624218,0.061120067852240154,0.061120067852240154,1.0384165182052745,0.0,-0.2952535877425247,-300.02665724197044
San Bernardino,Riverside,200.34694722501027,210.88900149461554,-2.639172407142007,-0.8097956225706231,0.22031061380562036,0.23190313607300717,0.019602711724499403,0.019602711724499403,1.829376784571384,0.0,0.011592522267386801,10.542054269605273
San Diego,Riverside,19.244927125118966,240.39534702768782,-4.981975506861364,-1.5076106851987678,0.011913095742232297,0.14881078876053663,0.0018829972895419882,0.0018829972895419882,3.474364821662596,0.0,0.13689769301830435,221.15041990256884
Ventura,Riverside,0.021406078945325757,12.18307554260928,-11.783303341325102,-3.5634483371328227,5.4951068790818476e-05,0.03127490204701162,2.0944526509097396e-06,2.0944526509097396e-06,8.21985500419228,0.0,0.0312199509782208,12.161669463663955
Los Angeles,San Bernardino,98.10418621163097,591.1345263494301,-3.3531929683359487,-1.0441466974920879,0.020687139287172047,0.12465199250179708,0.009598888867087974,0.009598888867087974,2.3090462708438606,0.0,0.10396485321462504,493.0303401377991
Orange,San Bernardino,71.36564317013764,230.42025153692768,-3.671406441454156,-1.124159605001501,0.04611527206578767,0.14889367091893535,0.006982687530179939,0.006982687530179939,2.547246836452655,0.0,0.10277839885314768,159.05460836679003
Riverside,San Bernardino,259.18768875544123,249.17707491454956,-2.3816705406336345,-0.7281458406688316,0.25506431897489307,0.24521296216813945,0.02535991496544214,0.02535991496544214,1.653524699964803,0.0,-0.009851356806753614,-10.010613840891665
San Bernardino,San Bernardino,553.3678553355253,286.25620928507334,-1.6232000270012974,-0.5042403119029734,0.6085084577423017,0.31478034503034286,0.05414362782161047,0.05414362782161047,1.118959715098324,0.0,-0.2937281127119588,-267.11164605045195
San Diego,San Bernardino,2.1264043335872875,123.93840563513726,-7.184790559930958,-2.170110819100868,0.0013162979650704404,0.07672100200077449,0.000208055534353729,0.000208055534353729,5.01467974083009,0.0,0.07540470403570405,121.81200130154997
Ventura,San Bernardino,0.12705785031782285,20.815055865974458,-10.002335788823373,-3.0278195105713155,0.00032616737941876955,0.05343386659917252,1.2431826122698963e-05,1.2431826122698963e-05,6.974516278252057,0.0,0.05310769921975375,20.687998015656635
