county_i_name,county_i,H_i_2024_data,H_i_2025_data,N_i_2024_data,N_i_2025_data,L_i_data,F_i_nofire,F_i_fire1,p_i_eq,A_i_eq,A_i_norm_eq,p_i_cf,diff_p_i
Los Angeles,0,3696405,3726527,3304913.7583892616,3314366.1073825504,4742279,0,0.01,0.8522042360796375,4.662324055487774,1.0891667859830814,0.9311539427730559,0.07894970669341839
Orange,1,1157564,1163983,1056690.0,1058475.6666666667,1547549,0,0.0,0.8778741586473439,3.6008077227864383,0.027650453281745424,0.9381701141093004,0.06029595546195654
Riverside,2,882389,893304,835918.456375839,837463.0872483222,1016166,0,0.0,0.9256227943960456,3.9700330954901393,0.39687582598544635,0.9628365106848833,0.03721371628883774
San Bernardino,3,751646,758120,698524.126984127,700769.5238095238,909384,0,0.0,0.9005872637839227,3.7282624434338825,0.15510517392918954,0.9499865746333043,0.04939931084938154
San Diego,4,1266919,1280893,1214418.315018315,1219831.1355311356,1615443,0,0.0,0.9413303999516619,3.9278690262920097,0.3547117567873168,0.9708083864019472,0.02947798645028532
Ventura,5,297922,300727,272428.61842105264,272699.0131578947,389548,0,0.0,0.8800355550049052,1.5496472735379125,-2.0235099959667804,0.9393012393324769,0.05926568432757173
