county_j_name,county_j,w_j_emp_data,w_j_county_data,L_j_data,_n_firms_j_data,w_j_emp_norm_data,w_j_county_norm_data,L_j_cf,diff_L_j
Los Angeles,0,83554,378140908586,4525711,572385,1.0612287045153936,1.061227902790648,2780665.1424999703,-1745045.8575000297
Orange,1,81403,135232345686,1661276,148394,1.0339086127973116,1.0339049266273914,1472306.9829578432,-188969.01704215677
Riverside,2,59734,50202249277,840433,86446,0.7586882188228273,0.758685691551384,729306.0020617881,-111126.99793821189
San Bernardino,3,62368,52757761723,845908,77170,0.7921429475933656,0.7921456550209813,757056.9627773851,-88851.03722261486
San Diego,4,82854,127309240480,1536541,133031,1.0523379261785004,1.0523436591177804,1221579.531554717,-314961.4684452829
Ventura,5,70487,23702861713,336272,31435,0.895263275189417,0.8952655857936485,421978.65333689237,85706.65333689237
