county_i_name,county_j_name,L_ij_eq,L_ij_cf,U_ij_eq,U_ij_cf,pi_ij_cond_eq,pi_ij_cond_cf,pi_ij_joint_eq,pi_ij_joint_cf,diff_U_ij,diff_pi_ij_joint,diff_pi_ij_cond,diff_L_ij
Los Angeles,Los Angeles,3656.523059780139,1757.0661159439642,0.2650449843100784,0.023037021604731294,0.7710476460326646,0.3705109117249247,0.35776820384666563,0.35776820384666563,-0.2420079627053471,0.0,-0.40053673430773995,-1899.456943836175
Orange,Los Angeles,257.44282756609516,339.0065732197147,-2.388425340316043,-0.7397622913196756,0.16635520268895856,0.21906031616427926,0.02518919107187764,0.02518919107187764,1.6486630489963674,0.0,0.0527051134753207,81.56374565361955
Riverside,Los Angeles,12.826174632747515,100.75686292128337,-5.387735030737401,-1.6354551297766187,0.012622125354270378,0.09915394032203728,0.0012549619913671906,0.0012549619913671906,3.7522799009607826,0.0,0.0865318149677669,87.93068828853586
San Bernardino,Los Angeles,48.87120550518769,137.89578890693875,-4.050034628329101,-1.2365573241645338,0.053740999957320214,0.1516364801964174,0.004781745698730415,0.004781745698730415,2.813477304164567,0.0,0.0978954802390972,89.02458340175106
San Diego,Los Angeles,0.9787650898891552,97.85747875044228,-7.960686621182945,-2.4082198895451516,0.0006058803002576725,0.06057624982772053,9.576612056660128e-05,9.576612056660128e-05,5.552466731637793,0.0,0.05997036952746286,96.87871366055313
Ventura,Los Angeles,11.163359901154895,79.91904353115818,-5.526586028844747,-1.6850592394069914,0.028657212721294668,0.20515839776140068,0.0010922658370901167,0.0010922658370901167,3.8415267894377556,0.0,0.176501185040106,68.75568363000329
Los Angeles,Orange,746.8841166969073,1088.7157149206498,-1.3233129653967532,-0.4556096585368073,0.15749476500579304,0.22957647892936067,0.07307799911107983,0.07307799911107983,0.867703306859946,0.0,0.07208171392356763,341.8315982237425
Orange,Orange,1153.402874128322,532.691048538417,-0.8887511338452971,-0.28784017870418604,0.7453094371346705,0.3442159495682633,0.11285334943663204,0.11285334943663204,0.6009109551411111,0.0,-0.40109348756640717,-620.7118255899051
Riverside,Orange,90.89657757194253,181.7838049049315,-3.429500656897286,-1.045347350764579,0.08945052045821503,0.17889183942872663,0.00889366886576624,0.00889366886576624,2.384153306132707,0.0,0.08944131897051161,90.88722733298896
San Bernardino,Orange,103.13999914882797,172.70309142973176,-3.303135726528018,-1.0114816856320266,0.11341743328322025,0.1899121728881659,0.010091612068882047,0.010091612068882047,2.2916540408959913,0.0,0.07649473960494564,69.56309228090379
San Diego,Orange,12.695408196889844,211.8280623993205,-5.3979826381120315,-1.6359570920385864,0.007858778178425264,0.13112691837429152,0.001242167303048436,0.001242167303048436,3.762025546073445,0.0,0.12326814019586627,199.13265420243064
Ventura,Orange,0.9971315201363512,38.59442901776525,-7.9420956087346735,-2.4129654657571633,0.002559714130572744,0.09907489967286501,9.756316236100183e-05,9.756316236100183e-05,5.52913014297751,0.0,0.09651518554229227,37.5972974976289
Los Angeles,Riverside,19.902150070654397,365.1641135759814,-4.9483952372526225,-1.5480168171272353,0.004196748034152861,0.07700181992159916,0.0019473024966764326,0.0019473024966764326,3.4003784201253873,0.0,0.0728050718874463,345.261963505327
Orange,Riverside,48.615857736830705,205.1456300960362,-4.055273238331797,-1.2420616708980636,0.03141474534042586,0.13256163785187797,0.004756761496266004,0.004756761496266004,2.813211567433733,0.0,0.1011468925114521,156.52977235920548
Riverside,Riverside,624.6696467549325,324.9477327401741,-1.5020000620937735,-0.4645010995503436,0.6147318910049465,0.3197781983850808,0.061120067852240154,0.061120067852240154,1.0374989625434299,0.0,-0.2949536926198657,-299.7219140147584
San Bernardino,Riverside,200.34694722501027,210.9575960703851,-2.639172407142007,-0.8113984244134024,0.22031061380562036,0.23197856578781376,0.019602711724499403,0.019602711724499403,1.8277739827286048,0.0,0.011667951982193392,10.61064884537484
San Diego,Riverside,19.244927125118966,240.11965504479102,-4.981975506861364,-1.5105946494449067,0.011913095742232297,0.14864012846308483,0.0018829972895419882,0.0018829972895419882,3.471380857416457,0.0,0.13672703272085254,220.87472791967204
Ventura,Riverside,0.021406078945325757,12.128669771737112,-11.783303341325102,-3.570501353229989,5.4951068790818476e-05,0.031135238203602898,2.0944526509097396e-06,2.0944526509097396e-06,8.212801988095112,0.0,0.03108028713481208,12.107263692791786
Los Angeles,San Bernardino,98.10418621163097,590.5510434735212,-3.3531929683359487,-1.0673076228853806,0.020687139287172047,0.12452895400576834,0.009598888867087974,0.009598888867087974,2.285885345450568,0.0,0.1038418147185963,492.4468572618902
Orange,San Bernardino,71.36564317013764,230.30330818616986,-3.671406441454156,-1.1263846171357417,0.04611527206578767,0.14881810410279062,0.006982687530179939,0.006982687530179939,2.5450218243184146,0.0,0.10270283203700295,158.9376650160322
Riverside,San Bernardino,259.18768875544123,249.28041084938582,-2.3816705406336345,-0.7295870357836327,0.25506431897489307,0.24531465415039053,0.02535991496544214,0.02535991496544214,1.6520835048500018,0.0,-0.00974966482450254,-9.907277906055413
San Bernardino,San Bernardino,553.3678553355253,286.52254754289754,-1.6232000270012974,-0.5052383381686084,0.6085084577423017,0.31507322269019217,0.05414362782161047,0.05414362782161047,1.1179616888326889,0.0,-0.2934352350521095,-266.84530779262775
San Diego,San Bernardino,2.1264043335872875,123.63404636982146,-7.184790559930958,-2.174406048073394,0.0013162979650704404,0.07653259593177941,0.000208055534353729,0.000208055534353729,5.0103845118575645,0.0,0.07521629796670898,121.50764203623417
Ventura,San Bernardino,0.12705785031782285,20.744082633118058,-10.002335788823373,-3.0338123741481047,0.00032616737941876955,0.053251672792872864,1.2431826122698963e-05,1.2431826122698963e-05,6.968523414675269,0.0,0.052925505413454095,20.617024782800236
Los Angeles,San Diego,2.234564356230226,188.92821860619568,-7.135176716744519,-2.2069965487091436,0.00047120052536559447,0.03983911925177656,0.00021863832472489278,0.00021863832472489278,4.928180168035375,0.0,0.03936791872641096,186.69365424996545
Orange,San Diego,9.990532537585906,127.34442259072844,-5.637585108592895,-1.7188863839854465,0.006455713219798473,0.08228781291624902,0.0009775119213000917,0.0009775119213000917,3.9186987246074487,0.0,0.07583209969645055,117.35389005314254
Riverside,San Diego,28.315733691497464,127.9137009681315,-4.595805395907717,-1.3968096212582821,0.027865263836319522,0.12587874517365416,0.0027705197034957776,0.0027705197034957776,3.1989957746494344,0.0,0.09801348133733465,99.59796727663402
San Bernardino,San Diego,2.4183867639623955,55.73582749498234,-7.056122315485684,-2.142432408516539,0.00265936806009606,0.06128965046117193,0.0002366242122923736,0.0002366242122923736,4.913689906969145,0.0,0.058630282401075866,53.31744073101994
San Diego,San Diego,1580.3634548209748,906.4386304282339,-0.5738128726343342,-0.18220868280169014,0.9782848759262783,0.5611083959187878,0.1546288059482954,0.1546288059482954,0.3916041898326441,0.0,-0.4171764800074905,-673.9248243927409
Ventura,San Diego,0.003968193279608659,7.2986754739570365,-13.468667388065231,-4.078380516079249,1.0186660641586298e-05,0.018736267350768148,3.8826321041917893e-07,3.8826321041917893e-07,9.390286871985982,0.0,0.018726080690126563,7.294707280677428
Los Angeles,Ventura,218.6309228844384,751.8537934796892,-2.5518379824024255,-0.8258218144108197,0.04610250111485182,0.15854271616657079,0.02139168584661068,0.02139168584661068,1.726016167991606,0.0,0.11244021505171897,533.2228705952508
Orange,Ventura,6.731264861028093,113.05801736893572,-6.032459937211641,-1.8378806735438598,0.004349629550358724,0.07305617939653966,0.0006586127038102139,0.0006586127038102139,4.194579263667781,0.0,0.06870654984618094,106.32675250790763
Riverside,Ventura,0.2701785934388229,31.483487616094042,-9.24789508836756,-2.7987022408832005,0.00026588037135549,0.030982622540110603,2.643530712431445e-05,2.643530712431445e-05,6.44919284748436,0.0,0.030716742168755112,31.21330902265522
San Bernardino,Ventura,1.239606021486392,45.56914855506405,-7.724429402374202,-2.3438246504310865,0.0013631271514414065,0.050109907976238946,0.00012128779513600645,0.00012128779513600645,5.380604751943116,0.0,0.04874678082479754,44.32954253357765
San Diego,Ventura,0.03404043354007694,35.56512700738987,-11.319429246061336,-3.4203664319190845,2.107188773610517e-05,0.022015711484335808,3.3306462359702377e-06,3.3306462359702377e-06,7.899062814142251,0.0,0.021994639596599704,35.53108657384979
Ventura,Ventura,377.235076456166,230.86309957226476,-2.006354468797058,-0.6242485135518454,0.9683917680392814,0.5926435242184905,0.036910122957024886,0.036910122957024886,1.3821059552452126,0.0,-0.37574824382079086,-146.37197688390123
