county_name,fips,centroid_x,centroid_y
Los Angeles,037,160725.13968907375,-437223.3240735143
Orange,059,198277.45286610594,-473796.6685048849
Riverside,065,276842.6310546855,-463790.03719462414
San Bernardino,071,246975.16618957926,-420294.85312003177
San Diego,073,270512.296641779,-566612.9111763188
Ventura,111,88584.91350195388,-419705.16826944886
