county_name,fips,centroid_x,centroid_y,geometry,lon,lat
Los Angeles,037,160725.13968907375,-437223.3240735143,POINT (-118.25868155865012 34.06732038197124),-118.25868155865012,34.06732038197124
Orange,059,198277.45286610594,-473796.6685048849,POINT (-117.86089869530865 33.73070228994758),-117.86089869530865,33.73070228994758
Riverside,065,276842.6310546855,-463790.03719462414,POINT (-117.010382704948 33.801746528411165),-117.010382704948,33.801746528411165
San Bernardino,071,246975.16618957926,-420294.85312003177,POINT (-117.31946296026781 34.20174504104237),-117.31946296026781,34.20174504104237
San Diego,073,270512.296641779,-566612.9111763188,POINT (-117.11250783848585 32.87624001111756),-117.11250783848585,32.87624001111756
Ventura,111,88584.91350195388,-419705.16826944886,POINT (-119.03825826310677 34.23448089012769),-119.03825826310677,34.23448089012769
